batch_size,defect_count
131,3
94,4
140,4
100,3
103,1
82,4
101,4
132,2
81,2
109,7
117,3
81,2
143,6
139,10
100,2
112,6
137,8
101,2
128,7
138,4
121,6
139,7
94,4
141,2
141,8
126,4
141,3
130,2
134,6
143,7
82,1
130,5
86,2
100,5
118,2
97,5
83,3
139,9
93,2
88,3
132,2
81,5
139,9
123,3
87,4
126,7
114,5
115,5
129,3
83,1
81,5
85,5
133,6
83,3
133,4
142,8
97,6
123,8
113,6
141,7
93,1
127,3
94,6
141,7
119,1
132,2
103,5
105,1
139,3
120,5
108,6
94,5
124,3
144,8
88,2
80,2
87,5
142,7
90,5
87,4
114,5
114,2
112,4
84,2
120,3
107,7
86,3
91,6
113,5
112,6
127,5
102,5
141,6
116,3
123,7
114,3
144,2
126,6
82,2
80,5
84,6
93,6
106,3
88,1
94,6
121,4
130,9
142,10
131,8
83,2
102,3
94,6
122,4
108,2
115,5
92,6
111,6
138,6
107,2
145,7
121,8
124,2
141,6
136,9
85,5
107,6
107,6
123,4
109,3
141,8
141,8
80,5
106,7
141,6
82,3
149,9
106,5
88,5
141,8
116,7
130,4
123,4
103,2
138,6
111,1
131,5
141,6
137,4
131,6
91,1
